gene10007	LOC105883949
gene9060	SLC16A10
gene9062	LOC105864894
gene9063	RPF2
gene9065	GTF3C6
gene9066	LOC105864990
gene9067	AMD1
gene9068	LOC105864926
gene9069	CDK19
gene9070	LOC105864924
gene9071	SLC22A16
gene9072	DDO
gene9073	METTL24
gene9074	CDC40
gene9075	WASF1
gene9076	GPR6
gene9077	FIG4
gene9078	AK9
gene9079	ZBTB24
gene9081	MICAL1
gene895	SLC51A
gene9082	SMPD2
gene9083	PPIL6
gene9084	CD164
gene9085	LOC105864908
gene9086	CEP57L1
gene9087	SESN1
gene9088	LOC105864913
gene9089	ARMC2
gene896	ZDHHC19
gene9090	LOC105864916
gene9091	FOXO3
gene897	LOC105879828
gene9092	LOC105864917
gene9093	LACE1
gene9096	SNX3
gene898	LOC109730769
gene9097	NR2E1
gene9098	OSTM1
gene9099	SEC63
gene9101	SCML4
gene900	TFRC
gene9102	LOC105865002
gene9103	SOBP
gene9104	LOC105864933
gene9105	LOC109730798
gene9106	LOC105864941
gene9107	PDSS2
gene9108	LOC105864889
gene9109	BEND3
gene9110	C6H6orf203
gene9112	LOC105865005
gene9113	QRSL1
gene9114	RTN4IP1
gene9115	AIM1
gene901	TNK2
gene9119	ATG5
gene9120	PRDM1
gene9121	LOC105864979
gene9122	LOC105864980
gene9123	PREP
gene9126	POPDC3
gene9127	LOC105864954
gene9128	BVES
gene9129	LIN28B
gene9130	LOC105864994
gene9132	HACE1
gene9134	LOC105862353
gene9135	LOC105862350
gene9136	LOC109730799
gene9137	LOC105870545
gene9138	LOC105870544
gene9139	LOC109730800
gene9140	LOC105865363
gene9141	LOC105865361
gene9142	LOC105865351
gene9144	RSPH4A
gene9145	ZUFSP
gene9146	KPNA5
gene9147	FAM162B
gene9148	GPRC6A
gene9150	RFX6
gene9151	LOC105865365
gene9153	LOC105865347
gene9154	VGLL2
gene9155	ROS1
gene9156	DCBLD1
gene9157	LOC105865354
gene902	LOC105879760
gene9158	GOPC
gene9159	LOC105865355
gene903	MUC4
gene9160	NUS1
gene9161	SLC35F1
gene9163	LOC105857030
gene9165	CEP85L
gene9166	PLN
gene9167	LOC105857024
gene9168	LOC105857023
gene9169	MCM9
gene9170	LOC109730801
gene9171	ASF1A
gene904	MUC20
gene9172	FAM184A
gene9173	LOC109730802
gene9175	LOC105857020
gene9176	MAN1A1
gene9177	LOC105857016
gene9178	TBC1D32
gene9180	LOC105857013
gene90	LOC105872692
gene9181	LOC105857015
gene9182	GJA1
gene9186	HSF2
gene9187	SERINC1
gene9188	LOC105878215
gene9189	LOC105878214
gene9190	LOC105878212
gene9191	PKIB
gene905	RUBCN
gene9192	LOC105878226
gene9193	FABP7
gene9194	SMPDL3A
gene9195	CLVS2
gene906	FYTTD1
gene9196	LOC105878222
gene9197	LOC105878208
gene9198	LOC105878207
gene9199	LOC105878221
gene9200	LOC105878206
gene9201	NKAIN2
gene9203	RNF217
gene9204	LOC105878204
gene9205	TPD52L1
gene907	LRCH3
gene9206	HDDC2
gene9207	HEY2
gene9208	TRNAE-CUC
gene9210	NCOA7
gene9213	HINT3
gene9214	TRMT11
gene9215	LOC105878194
gene9216	MRPL49
gene9217	CENPW
gene9219	LOC105878191
gene9220	RSPO3
gene9221	RNF146
gene91	LOC105872694
gene9222	ECHDC1
gene9224	KIAA0408
gene9225	SOGA3
gene9226	LOC105855528
gene9227	C6H6orf58
gene9228	LOC105855511
gene9229	THEMIS
gene9230	PTPRK
gene9231	LOC105855514
gene9232	LAMA2
gene9234	ARHGAP18
gene9235	TMEM244
gene9236	LOC105855539
gene9237	L3MBTL3
gene9238	SAMD3
gene9239	TMEM200A
gene9240	LOC105855526
gene9242	LOC105855568
gene9243	SMLR1
gene9244	EPB41L2
gene9246	AKAP7
gene9247	LOC105855548
gene9248	LOC105855549
gene9249	LOC109730803
gene9250	ARG1
gene9251	MED23
gene9252	ENPP3
gene9254	ENPP1
gene9255	CTGF
gene9256	LOC105855516
gene92	PIK3R4
gene9257	LOC105855527
gene9258	MOXD1
gene9259	STX7
gene9260	TAAR9
gene9261	TAAR8
gene9262	LOC105855519
gene9263	TAAR5
gene9264	TAAR4
gene908	IQCG
gene9265	TAAR3
gene9266	LOC105855523
gene9267	TAAR1
gene9268	VNN1
gene9269	LOC105855561
gene9270	LOC105855558
gene9271	SLC18B1
gene9272	LOC105855564
gene9273	RPS12
gene9274	LOC105855565
gene9275	LOC105855525
gene9276	EYA4
gene9278	LOC105880565
gene9279	LOC105880552
gene909	RPL35A
gene9280	TCF21
gene9281	TBPL1
gene9282	SLC2A12
gene9283	SGK1
gene9284	LOC105857246
gene9285	LOC105857245
gene9288	LOC105857223
gene910	LMLN
gene9289	LOC105857224
gene9290	LOC109730804
gene9292	ALDH8A1
gene9293	HBS1L
gene9294	LOC109730805
gene9296	MYB
gene9297	LOC105857247
gene9299	AHI1
gene9300	PDE7B
gene9301	LOC105857236
gene9302	MTFR2
gene9303	BCLAF1
gene9305	MAP7
gene912	LOC105879843
gene9306	MAP3K5
gene9307	LOC105857228
gene9308	PEX7
gene9309	SLC35D3
gene915	LOC105879846
gene9310	IL20RA
gene9311	LOC105857218
gene9312	IL22RA2
gene9313	IFNGR1
gene9314	LOC105860603
gene9316	OLIG3
gene916	LOC105879850
gene9317	LOC105862073
gene9318	LOC105862052
gene9319	LOC105862064
gene9320	LOC105862063
gene917	OSBPL11
gene9321	LOC105862065
gene9322	TNFAIP3
gene9323	LOC105862067
gene9324	LOC105862066
gene9325	LOC105862074
gene9326	PERP
gene9327	ARFGEF3
gene9328	PBOV1
gene9329	LOC109730808
gene9330	LOC105862059
gene9331	HEBP2
gene9332	NHSL1
gene9333	LOC105862055
gene9334	CCDC28A
gene9335	ECT2L
gene918	SNX4
gene9336	REPS1
gene919	ZNF148
gene9337	ABRACL
gene9338	HECA
gene9339	LOC105862061
gene9340	TXLNB
gene9341	CITED2
gene9342	LOC109730809
gene9345	LOC105859468
gene9346	LOC105859467
gene9347	LOC105859469
gene9348	NMBR
gene9349	VTA1
gene9350	ADGRG6
gene9351	LOC105860563
gene9352	HIVEP2
gene920	SLC12A8
gene9353	LOC105868662
gene9354	AIG1
gene9355	LOC105868664
gene9356	ADAT2
gene9357	PEX3
gene9358	FUCA2
gene9359	PHACTR2
gene9361	LOC105864582
gene9362	LTV1
gene9363	ZC2HC1B
gene9364	PLAGL1
gene9365	SF3B5
gene9366	STX11
gene9367	LOC105867053
gene9368	TRNAL-UAA
gene9369	LOC105867054
gene9370	LOC109730810
gene9371	LOC109730811
gene9372	LOC105859149
gene9374	EPM2A
gene9375	LOC105859152
gene9376	FBXO30
gene9377	LOC105859154
gene9378	SHPRH
gene921	HEG1
gene922	LOC105879855
gene9379	LOC105859148
gene9380	LOC105877216
gene9381	LOC109730813
gene9382	LOC109730812
gene9383	GRM1
gene9384	LOC105864347
gene9385	RAB32
gene9386	ADGB
gene9387	LOC105864343
gene9388	STXBP5
gene9389	SASH1
gene9391	LOC109730814
gene9392	LOC105864342
gene923	MUC13
gene9393	UST
gene9394	LOC105858051
gene9395	LOC105858058
gene9396	TAB2
gene9397	ZC3H12D
gene924	LOC105879754
gene9398	PPIL4
gene9399	GINM1
gene9400	KATNA1
gene9401	LATS1
gene925	ITGB5
gene9403	NUP43
gene9404	PCMT1
gene9405	LRP11
gene9406	LOC105868655
gene9407	LOC105868654
gene9408	LOC105868644
gene9409	LOC109730815
gene9410	LOC105858054
gene9413	PPP1R14C
gene9415	LOC105858072
gene926	UMPS
gene9416	IYD
gene9417	PLEKHG1
gene9418	MTHFD1L
gene9419	LOC105858074
gene9420	AKAP12
gene927	KALRN
gene9421	ZBTB2
gene9422	RMND1
gene9423	ARMT1
gene9424	LOC105858065
gene9425	LOC105858066
gene9426	CCDC170
gene9427	ESR1
gene9428	SYNE1
gene9429	LOC109730817
gene9430	LOC105862104
gene9431	LOC105862102
gene9433	MYCT1
gene9434	VIP
gene9435	LOC105862101
gene9436	FBXO5
gene9437	LOC105862108
gene9438	MTRF1L
gene9439	RGS17
gene9440	LOC105862109
gene9441	LOC105870100
gene9442	IPCEF1
gene9443	LOC105870101
gene9444	CNKSR3
gene9445	LOC105868750
gene9446	SCAF8
gene9449	LOC105868744
gene9450	TIAM2
gene9451	TFB1M
gene9452	CLDN20
gene9453	NOX3
gene9454	LOC105868577
gene9455	LOC105868569
gene9457	LOC105868619
gene9458	LOC105868592
gene9459	LOC105868593
gene9460	LOC105868594
gene9461	LOC105868574
gene9462	LOC105868573
gene9463	ARID1B
gene9464	LOC105868572
gene9465	TMEM242
gene9466	LDHAL6B
gene9468	ZDHHC14
gene9469	SNX9
gene9470	SYNJ2
gene9471	LOC109730819
gene9472	SERAC1
gene9473	GTF2H5
gene9474	TULP4
gene9475	TMEM181
gene9476	DYNLT1
gene9477	SYTL3
gene9478	EZR
gene9479	LOC105868624
gene9480	LOC105868625
gene9481	RSPH3
gene9482	TAGAP
gene9483	LOC105868614
gene9484	FNDC1
gene9485	LOC105868615
gene9486	LOC105868616
gene9487	SOD2
gene9488	LOC105868606
gene9489	WTAP
gene9490	ACAT2
gene9491	TCP1
gene9492	MRPL18
gene9493	PNLDC1
gene9494	LOC109730820
gene9495	MAS1
gene9496	IGF2R
gene9498	LOC105865384
gene9499	SLC22A1
gene9500	LOC105868622
gene9501	SLC22A3
gene9502	PLG
gene9503	LOC105868621
gene9504	MAP3K4
gene9505	AGPAT4
gene9506	LOC105868596
gene9507	PRKN
gene9508	LOC105868580
gene9509	LOC105868579
gene9510	LOC105860689
gene9511	LOC105860690
gene9512	PACRG
gene9513	LOC105860692
gene9514	QKI
gene9515	LOC105860697
gene9516	LOC105860698
gene9517	LOC105860693
gene9518	LOC105860695
gene9519	LOC109730821
gene9520	LOC105860694
gene9521	LOC109730853
gene9522	LOC105869227
gene9523	C6H6orf118
gene9524	LOC109730839
gene9525	PDE10A
gene9526	LOC105877851
gene9527	LOC105877853
gene9528	LOC105877852
gene9530	LOC109730822
gene9531	T
gene9532	PRR18
gene9533	SFT2D1
gene9534	LOC109730825
gene9535	LOC109730824
gene9536	LOC109730823
gene9537	MPC1
gene9538	RPS6KA2
gene9539	LOC105877859
gene9540	LOC109730826
gene9541	RNASET2
gene9542	FGFR1OP
gene9543	LOC105877861
gene9544	CCR6
gene9545	LOC109730854
gene9546	TTLL2
gene9547	UNC93A
gene9548	LOC105877865
gene9549	LOC105877866
gene93	LOC105872696
gene9550	AFDN
gene9551	LOC105877870
gene9552	KIF25
gene9553	LOC105877879
gene9554	DACT2
gene9555	LOC105877873
gene9556	SMOC2
gene9557	THBS2
gene9558	WDR27
gene9559	C6H6orf120
gene9560	PHF10
gene9561	TCTE3
gene9562	ERMARD
gene9563	LOC105881074
gene9564	DLL1
gene9565	FAM120B
gene9566	LOC105881077
gene9567	LOC105881078
gene9568	LOC109730855
gene9569	PSMB1
gene9570	TBP
gene9571	PDCD2
gene9572	LOC105881082
gene9573	LOC109730827
gene9574	LOC109729210
gene9575	MED21
gene9577	LOC105857254
gene9578	RFPL4B
gene9579	STK38L
gene9580	ARNTL2
gene9581	SMCO2
gene9582	LOC109730935
gene929	ROPN1
gene9583	LOC105883706
gene9584	RASD2
gene9585	LOC105883709
gene9586	MB
gene9587	LOC105883698
gene9588	LOC105883708
gene9589	LOC105883711
gene9590	APOL5
gene930	CCDC14
gene9591	RBFOX2
gene94	LOC105872697
gene9592	LOC105883697
gene9593	MYH9
gene9594	LOC105883712
gene9595	TXN2
gene9596	LOC109730936
gene9597	LOC105883716
gene9598	LOC105883717
gene9599	FOXRED2
gene9600	EIF3D
gene9601	CACNG2
gene9602	LOC105883723
gene9603	LOC105883721
gene9604	LOC105883722
gene9605	IFT27
gene9606	PVALB
gene9607	LOC105883727
gene9608	NCF4
gene9609	CSF2RB
gene9610	TEX33
gene9611	LOC105883732
gene9612	TST
gene9613	MPST
gene9614	LOC105883735
gene931	MYLK
gene9615	KCTD17
gene9616	TMPRSS6
gene9617	IL2RB
gene9618	C1QTNF6
gene9619	SSTR3
gene9620	LOC105883743
gene9621	LOC105883744
gene9622	RAC2
gene9623	CYTH4
gene9624	LOC105883748
gene95	COL6A5
gene9625	ELFN2
gene9626	LOC109730912
gene9627	LOC105883753
gene9628	MFNG
gene9629	CARD10
gene9630	CDC42EP1
gene9631	LGALS2
gene9632	GGA1
gene932	LOC109730793
gene9633	SH3BP1
gene9634	PDXP
gene9635	LGALS1
gene9636	NOL12
gene9637	TRIOBP
gene9638	LOC105858579
gene9640	LOC105858624
gene9641	GCAT
gene9642	GALR3
gene9643	ANKRD54
gene9644	EIF3L
gene9645	MICALL1
gene9646	C7H22orf23
gene9647	POLR2F
gene9648	SOX10
gene933	HACD2
gene9649	LOC105858597
gene9650	PICK1
gene9651	SLC16A8
gene9652	BAIAP2L2
gene9653	PLA2G6
gene9654	MAFF
gene9655	TMEM184B
gene9656	LOC105858613
gene9657	KCNJ4
gene9658	KDELR3
gene9659	DDX17
gene9661	LOC105858542
gene934	LOC105879869
gene935	LOC105879874
gene9663	CBY1
gene9664	TOMM22
gene9665	JOSD1
gene9666	GTPBP1
gene936	ADCY5
gene96	LOC105872699
gene9667	SUN2
gene9668	DNAL4
gene9669	NPTXR
gene9670	CBX6
gene937	SEC22A
gene9671	LOC105858493
gene9672	LOC109730938
gene9673	LOC105858492
gene9674	LOC105858491
gene9676	CBX7
gene9677	LOC105858633
gene9678	PDGFB
gene9679	LOC105858626
gene9680	LOC105858512
gene9681	RPL3
gene9682	SYNGR1
gene9683	TAB1
gene9684	LOC105858507
gene9685	LOC109730907
gene9686	MGAT3
gene9687	MIEF1
gene9688	ATF4
gene9689	RPS19BP1
gene9690	LOC109729228
gene9691	LOC105858532
gene938	LOC105879872
gene9692	ENTHD1
gene9693	GRAP2
gene939	LOC105879875
gene9694	LOC105858606
gene9695	FAM83F
gene9696	TNRC6B
gene940	PDIA5
gene9697	LOC105858504
gene9698	ADSL
gene9699	LOC105858500
gene9700	SGSM3
gene9701	MKL1
gene941	SEMA5B
gene97	LOC105872731
gene9702	LOC105858499
gene9704	MCHR1
gene9705	LOC105858617
gene9706	LOC105858618
gene9707	SLC25A17
gene9708	ST13
gene9709	XPNPEP3
gene9710	LOC105858548
gene9711	RBX1
gene9712	LOC105858634
gene9713	EP300
gene9715	LOC105858566
gene9716	L3MBTL2
gene9717	CHADL
gene9718	RANGAP1
gene942	DIRC2
gene9719	ZC3H7B
gene9720	TEF
gene9721	TOB2
gene9722	PHF5A
gene9723	ACO2
gene9726	POLR3H
gene9727	CSDC2
gene943	HSPBAP1
gene9728	PMM1
gene9730	DESI1
gene9733	XRCC6
gene9734	LOC109730940
gene9735	SNU13
gene9736	C7H22orf46
gene9737	MEI1
gene9739	CCDC134
gene944	PARP14
gene9740	LOC105858558
gene9741	SREBF2
gene9742	SHISA8
gene9743	TNFRSF13C
gene9744	LOC105858552
gene9745	CENPM
gene9747	SEPT3
gene9748	WBP2NL
gene945	LOC105879882
gene9750	LOC105858600
gene9753	LOC105858484
gene9754	NAGA
gene9755	FAM109B
gene946	DTX3L
gene9756	SMDT1
gene9757	NDUFA6
gene9758	LOC105858588
gene947	PARP9
gene98	CAPN7
gene9759	LOC105858483
gene9760	LOC105858587
gene9761	TCF20
gene9762	LOC105858576
gene9764	NFAM1
gene9765	LOC105858574
gene9766	SERHL2
gene9767	RRP7A
gene9768	POLDIP3
gene9769	LOC105858567
gene9770	TTLL12
gene9771	TSPO
gene9772	LOC105867667
gene9773	MCAT
gene9774	BIK
gene9777	LOC105858629
gene9778	A4GALT
gene9779	LOC105858531
gene9780	ARFGAP3
gene9781	PACSIN2
gene9782	LOC105858527
gene948	LOC105879887
gene9783	LOC105858528
gene9784	TTLL1
gene9785	SCUBE1
gene9786	MPPED1
gene9787	LOC109730941
gene9788	EFCAB6
gene9789	SULT4A1
gene9791	LOC105867509
gene9792	SAMM50
gene9793	PARVB
gene9794	PARVG
gene9795	LOC109730942
gene9796	KIAA1644
gene9797	LDOC1L
gene9798	LOC105867461
gene9799	ARHGAP8
gene9800	PHF21B
gene9802	LOC105867675
gene9803	NUP50
gene99	SH3BP5
gene9804	KIAA0930
gene9805	LOC105867437
gene9806	UPK3A
gene9807	FAM118A
gene9808	SMC1B
gene9810	RIBC2
gene9811	FBLN1
gene9812	LOC109730943
gene9813	ATXN10
gene9814	WNT7B
gene9815	LOC105867607
gene9816	LOC105867292
gene949	KPNA1
gene950	WDR5B
gene9817	PRR34
gene9818	LOC105867334
gene9819	PPARA
gene9820	CDPF1
gene9821	PKDREJ
gene9822	TTC38
gene951	CCDC58
gene9823	GTSE1
gene9824	TRMU
gene9825	CELSR1
gene9826	LOC105867205
gene9827	GRAMD4
gene9828	CERK
gene9829	TBC1D22A
gene9830	LOC105867127
gene9831	LOC105867672
gene9832	LOC105876672
gene9833	LOC105862808
gene9834	LOC105862807
gene9835	FAM19A5
gene9836	LOC105857402
gene9837	LOC105885034
gene9838	BRD1
gene9839	LOC105885033
gene9840	ZBED4
gene9841	ALG12
gene9842	CRELD2
gene9843	PIM3
gene9844	IL17REL
gene952	FAM162A
gene9845	TTLL8
gene9846	MLC1
gene953	LOC105879891
gene9847	MOV10L1
gene954	LOC105879892
gene9848	PANX2
gene9849	TRABD
gene9850	LOC105885022
gene9851	SELENOO
gene9852	TUBGCP6
gene955	LOC105879761
gene9853	HDAC10
gene9854	MAPK12
gene9855	MAPK11
gene956	LOC105879762
gene9856	PLXNB2
gene9857	DENND6B
gene9858	PPP6R2
gene957	LOC105879763
gene9859	SBF1
gene9860	ADM2
gene9861	MIOX
gene958	CASR
gene9862	LMF2
gene9863	NCAPH2
gene9864	LOC105885006
gene9865	TYMP
gene9866	ODF3B
gene9867	LOC105885001
gene959	CD86
gene9868	KLHDC7B
gene9869	SYCE3
gene9870	CPT1B
gene9871	MAPK8IP2
gene100	LOC105872701
gene13	FAIM
gene9872	CHKB
gene9873	ARSA
gene9874	LOC105884993
gene9875	LOC105884992
gene9876	LOC105884991
gene9877	SHANK3
gene9878	ACR
gene9879	RABL2B
gene9881	LOC105856556
gene9882	LOC105883710
gene9883	LOC105883704
gene9884	MCM5
gene9885	HMOX1
gene9886	TOM1
gene9887	HMGXB4
gene960	ILDR1
gene9888	ISX
gene9889	LOC105883692
gene9890	LOC105883707
gene9891	LOC105883705
gene9892	LOC105883703
gene9893	LOC105864361
gene9894	LOC105864359
gene9896	LARGE1
gene9898	LOC105873602
gene9899	LOC105873600
gene9900	LOC105873601
gene9901	LOC105873599
gene9902	SYN3
gene9903	TIMP3
gene9904	FBXO7
gene9905	BPIFC
gene9906	RTCB
gene9907	ASCL4
gene9908	PRDM4
gene9909	PWP1
gene9910	BTBD11
gene9911	LOC105875626
gene9912	LOC105875624
gene9913	LOC105875623
gene9914	LOC105857799
gene9915	CRY1
gene9916	LOC105875622
gene9917	MTERF2
gene9918	TMEM263
gene961	SLC15A2
gene101	LOC105872732
gene9919	LOC109730909
gene9920	LOC105875620
gene9921	RIC8B
gene9922	LOC105875618
gene9923	RFX4
gene962	EAF2
gene9924	LOC105875614
gene9925	LOC109730947
gene9926	LOC105875615
gene9927	POLR3B
gene9928	LOC105875612
gene9929	TCP11L2
gene9930	CKAP4
gene9931	LOC105875607
gene9932	LOC105875608
gene9933	NUAK1
gene963	IQCB1
gene9934	LOC105875605
gene9935	LOC105875604
gene9936	LOC105875644
gene9937	LOC105875643
gene9938	LOC105875603
gene9939	C7H12orf75
gene9940	APPL2
gene9941	WASHC4
gene9942	LOC105875601
gene9943	ALDH1L2
gene9944	C7H12orf45
gene9945	SLC41A2
gene964	GOLGB1
gene9946	CHST11
gene9947	TXNRD1
gene9948	EID3
gene9949	LOC105875591
gene9950	NFYB
gene9951	HCFC2
gene9952	GLT8D2
gene9953	TDG
gene9954	C7H12orf73
gene9955	HSP90B1
gene9956	LOC105875580
gene102	METTL6
gene9957	NT5DC3
gene9958	STAB2
gene9959	LOC105875577
gene9960	LOC105875578
gene9961	LOC105875642
gene9962	C7H12orf42
gene965	HCLS1
gene9963	LOC109730948
gene9964	LOC105875574
gene9965	LOC105875575
gene9966	ASCL1
gene9967	LOC105875572
gene966	FBXO40
gene9968	PAH
gene9969	LOC105875569
gene9970	LOC109730914
gene9971	IGF1
gene9972	LOC105875568
gene967	ARGFX
gene9973	PARPBP
gene9974	LOC105875560
gene9975	PMCH
gene969	POLQ
gene9977	LOC105875566
gene9978	NUP37
gene9979	WASHC3
gene9980	DRAM1
gene9981	GNPTAB
gene9982	SYCP3
gene9983	CHPT1
gene9984	LOC109730949
gene9985	MYBPC1
gene9987	SPIC
gene9988	ARL1
gene9989	UTP20
gene9990	SLC5A8
gene9991	LOC105875551
gene9992	ANO4
gene970	STXBP5L
gene9993	LOC105883951
gene9994	LOC105883954
gene9995	GAS2L3
gene9996	NR1H4
gene971	LOC109730806
gene9997	LOC105883958
gene9998	SLC17A8
gene9999	SCYL2
gene972	LOC105879906
gene10000	DEPDC4
gene10001	ACTR6
gene10002	UHRF1BP1L
gene973	LOC105879907
gene10003	ANKS1B
gene10004	FAM71C
gene10005	LOC105883942
gene10006	LOC105883946
gene10008	APAF1
gene10009	IKBIP
gene10010	SLC25A3
gene10011	TMPO
gene10012	TRNAW-CCA
gene10013	TRNAD-GUC
gene10014	LOC105883970
gene10015	LOC105883966
gene10016	LOC105883969
gene10017	LOC105883968
gene10018	LOC105883973
gene10019	LOC105883967
gene10020	LOC105883974
gene10021	LOC105883975
gene10022	LOC105877103
gene10023	LOC105877102
gene10024	NEDD1
gene10025	CFAP54
gene974	RABL3
gene10026	LOC105877099
gene10027	CDK17
gene10028	ELK3
gene10029	LOC105877111
gene10030	TRNAD-GUC
gene10031	LTA4H
gene10033	HAL
gene975	HGD
gene10034	AMDHD1
gene10035	CCDC38
gene10036	SNRPF
gene10037	NTN4
gene10038	USP44
gene10039	METAP2
gene10040	LOC105877108
gene10041	LOC105877083
gene10042	VEZT
gene10043	FGD6
gene10044	NR2C1
gene10046	LOC105877081
gene10047	NDUFA12
gene10048	TMCC3
gene976	NDUFB4
gene10049	LOC105877075
gene10050	LOC105877073
gene10051	CEP83
gene10054	PLXNC1
gene10055	LOC105877069
gene10056	CRADD
gene977	FSTL1
gene10057	SOCS2
gene978	LOC105879913
gene10058	MRPL42
gene10059	UBE2N
gene10060	NUDT4
gene10061	LOC105877063
gene10062	LOC105877062
gene10063	LOC109730915
gene10065	LOC105877061
gene10066	EEA1
gene10068	PLEKHG7
gene10069	LOC105877059
gene10070	LOC105877058
gene103	EAF1
gene10071	LOC105877109
gene10072	CLLU1
gene10073	CLLU1OS
gene10074	LOC105877056
gene10075	BTG1
gene10076	LOC105877055
gene10077	LOC105877104
gene10078	LOC105865372
gene10079	DCN
gene10080	LUM
gene10081	KERA
gene10082	EPYC
gene10083	CCER1
gene10084	LOC105865381
gene979	LRRC58
gene10085	LOC109730952
gene10086	LOC105865375
gene10087	LOC109730953
gene10088	ATP2B1
gene10089	POC1B
gene10090	GALNT4
gene10091	LOC105865367
gene980	GPR156
gene10092	LOC105865377
gene10093	DUSP6
gene10094	LOC105872754
gene10095	LOC105872753
gene10096	KITLG
gene10097	TMTC3
gene10099	CEP290
gene10100	LOC105867604
gene10101	LOC105884252
gene10102	C7H12orf50
gene10104	LOC105860665
gene982	GSK3B
gene10105	LOC105860668
gene10106	MGAT4C
gene104	COLQ
gene10107	LOC109730954
gene10109	LOC105858013
gene984	NR1I2
gene10110	NTS
gene10111	RASSF9
gene10113	LOC105858006
gene10114	ALX1
gene10115	LOC105858011
gene10116	LRRIQ1
gene10117	TSPAN19
gene10118	SLC6A15
gene10119	LOC105862922
gene10120	TMTC2
gene10121	METTL25
gene985	MAATS1
gene10122	CCDC59
gene10123	LOC105862921
gene10124	PPFIA2
gene10126	ACSS3
gene10127	LOC105868680
gene10128	LIN7A
gene10129	MYF5
gene10130	MYF6
gene10131	LOC105868678
gene10132	PTPRQ
gene10133	LOC105868677
gene10134	LOC105868675
gene10135	OTOGL
gene10137	LOC105863372
gene10138	PPP1R12A
gene10139	LOC105863371
gene10140	LOC105863370
gene10141	LOC105863356
gene10142	LOC109730955
gene10143	PAWR
gene10144	SYT1
gene986	LOC105879919
gene10147	LOC105863367
gene10148	LOC105863358
gene10149	LOC105863366
gene10150	NAV3
gene10151	E2F7
gene987	POPDC2
gene10152	LOC105863375
gene10153	CSRP2
gene10154	ZDHHC17
gene10155	LOC105863354
gene10158	LOC105863380
gene10159	OSBPL8
gene988	PLA1A
gene10160	BBS10
gene10161	NAP1L1
gene10162	PHLDA1
gene10163	LOC105863385
gene10164	KRR1
gene989	ADPRH
gene10165	GLIPR1
gene10166	GLIPR1L2
gene990	CD80
gene10167	GLIPR1L1
gene10168	CAPS2
gene991	TIMMDC1
gene10169	KCNC2
gene992	LOC105879926
gene10170	ATXN7L3B
gene10171	LOC105863651
gene10172	LOC105856879
gene993	POGLUT1
gene10174	TRHDE
gene10175	LOC105856881
gene10176	LOC105856882
gene10177	TPH2
gene10178	TBC1D15
gene994	TMEM39A
gene10179	RAB21
gene10180	TMEM19
gene10181	THAP2
gene10182	ZFC3H1
gene10183	LGR5
gene10186	TSPAN8
gene10187	LOC105884644
gene10188	PTPRR
gene10189	LOC105884643
gene10190	PTPRB
gene10191	KCNMB4
gene995	ARHGAP31
gene10192	CNOT2
gene10193	MYRFL
gene996	B4GALT4
gene10194	RAB3IP
gene10195	BEST3
gene10196	LOC105884614
gene10197	LRRC10
gene10198	CCT2
gene10199	FRS2
gene10201	YEATS4
gene10202	LYZ
gene10203	CPSF6
gene10204	CPM
gene10205	LOC109730957
gene10206	LOC105884627
gene10207	SLC2A13
gene10208	LOC105884619
gene10209	LRRK2
gene10210	LOC109730920
gene10211	LOC105884623
gene10212	LOC105884624
gene10213	LOC105884615
gene10214	LOC105884621
gene997	UPK1B
gene10216	LOC105862176
gene10217	LOC105862173
gene10218	LOC105862193
gene10220	IQSEC3
gene998	C1H3orf30
gene10221	SLC6A12
gene10222	LOC105862185
gene10223	SLC6A13
gene10224	KDM5A
gene10226	LOC105862181
gene10227	CCDC77
gene10228	B4GALNT3
gene10229	NINJ2
gene10230	WNK1
gene999	IGSF11
gene10231	RAD52
gene10232	ERC1
gene10233	LOC105861591
gene10234	LOC105861587
gene10235	LOC105861593
gene10237	WNT5B
gene10238	FBXL14
gene1000	LOC105879935
gene10239	LOC105861594
gene10240	ADIPOR2
gene1001	LOC105879937
gene10241	CACNA2D4
gene10242	LRTM2
gene1002	LOC105879936
gene10243	DCP1B
gene1003	LOC105879938
gene10244	LOC105861602
gene10245	CACNA1C
gene1004	LOC109730995
gene1005	LOC105868683
gene10247	LOC105861877
gene10248	LOC105861851
gene10249	IL17RA
gene1007	LSAMP
gene10250	CECR6
gene10251	HDHD5
gene10252	ADA2
gene10253	LOC109730860
gene10254	LOC105861863
gene10256	LOC105861846
gene10257	SLC25A18
gene10258	ATP6V1E1
gene10260	BCL2L13
gene10261	BID
gene10262	MICAL3
gene1008	LOC105868684
gene10263	LOC105861857
gene10265	LOC105861858
gene1010	GAP43
gene10266	PEX26
gene10267	LOC109730862
gene10268	LOC105861859
gene10269	TUBA8
gene10270	LOC105861862
gene10271	LOC109730863
gene10272	LOC105871593
gene10273	MUCL1
gene10274	LOC105865645
gene10275	LOC105865841
gene1011	LOC105882888
gene10276	LOC105865649
gene10277	LOC105865844
gene10278	LOC105865853
gene10279	LOC105865858
gene10280	LOC105865862
gene10281	LOC105865656
gene10282	LOC105865662
gene10283	LOC105865671
gene10284	LOC105865866
gene10285	LOC105865675
gene1012	ZBTB20
gene10286	LOC105865681
gene10287	LOC105865874
gene10288	LOC105865685
gene10290	LOC105864758
gene10291	LOC105864764
